month,zone,overtime_pressure_index,staffing_pressure_index,temperature_stress_index,floor_vibration_index,pace_pressure_index
2025-09-01,North,0.856,0.622,0.643,0.628,0.42
2025-09-01,South,0.59,0.804,0.347,0.304,0.549
2025-09-01,East,0.789,0.377,0.779,0.108,0.522
2025-09-01,West,0.529,0.786,0.522,0.487,0.402
2025-09-01,Central,0.42,0.612,0.127,0.484,0.467
2025-10-01,North,0.457,0.203,0.691,0.501,0.3
2025-10-01,South,0.485,0.503,0.147,0.441,0.841
2025-10-01,East,0.356,0.337,0.342,0.573,0.266
2025-10-01,West,0.438,0.556,0.615,0.63,0.788
2025-10-01,Central,0.803,0.466,0.765,0.554,0.767
2025-11-01,North,0.381,0.748,0.453,0.314,0.786
2025-11-01,South,0.387,0.418,0.585,0.347,0.606
2025-11-01,East,0.6,0.545,0.787,0.674,0.435
2025-11-01,West,0.498,0.578,0.689,0.745,0.619
2025-11-01,Central,0.848,0.681,0.198,0.561,0.594
2025-12-01,North,0.802,0.394,0.733,0.532,0.845
2025-12-01,South,0.44,0.754,0.482,0.164,0.859
2025-12-01,East,0.647,0.825,0.749,0.584,0.755
2025-12-01,West,0.786,0.826,0.218,0.593,0.595
2025-12-01,Central,0.318,0.603,0.34,0.306,0.527
2026-01-01,North,0.506,0.752,0.396,0.6,0.427
2026-01-01,South,0.354,0.337,0.61,0.471,0.695
2026-01-01,East,0.728,0.47,0.362,0.74,0.201
2026-01-01,West,0.465,0.419,0.101,0.682,0.257
2026-01-01,Central,0.508,0.376,0.218,0.383,0.59
2026-02-01,North,0.501,0.301,0.699,0.231,0.331
2026-02-01,South,0.519,0.785,0.219,0.107,0.275
2026-02-01,East,0.65,0.81,0.221,0.251,0.63
2026-02-01,West,0.386,0.708,0.395,0.581,0.38
2026-02-01,Central,0.716,0.337,0.366,0.333,0.32
2026-03-01,North,0.828,0.233,0.228,0.673,0.706
2026-03-01,South,0.889,0.663,0.674,0.627,0.365
2026-03-01,East,0.642,0.752,0.752,0.461,0.844
2026-03-01,West,0.731,0.239,0.44,0.397,0.271
2026-03-01,Central,0.709,0.313,0.674,0.293,0.74
2026-04-01,North,0.428,0.307,0.696,0.297,0.368
2026-04-01,South,0.877,0.839,0.482,0.111,0.829
2026-04-01,East,0.346,0.463,0.153,0.687,0.693
2026-04-01,West,0.336,0.726,0.186,0.73,0.817
2026-04-01,Central,0.353,0.69,0.239,0.238,0.565
2026-05-01,North,0.446,0.781,0.127,0.207,0.304
2026-05-01,South,0.481,0.569,0.409,0.633,0.818
2026-05-01,East,0.332,0.489,0.417,0.615,0.789
2026-05-01,West,0.467,0.453,0.612,0.146,0.741
2026-05-01,Central,0.882,0.679,0.253,0.449,0.489
2026-06-01,North,0.622,0.293,0.575,0.629,0.658
2026-06-01,South,0.616,0.213,0.198,0.302,0.731
2026-06-01,East,0.735,0.341,0.424,0.573,0.873
2026-06-01,West,0.397,0.686,0.329,0.326,0.462
2026-06-01,Central,0.636,0.777,0.22,0.698,0.296
2026-07-01,North,0.827,0.313,0.277,0.432,0.3
2026-07-01,South,0.791,0.489,0.568,0.365,0.649
2026-07-01,East,0.585,0.36,0.362,0.524,0.362
2026-07-01,West,0.886,0.422,0.498,0.701,0.524
2026-07-01,Central,0.606,0.209,0.736,0.539,0.553
2026-08-01,North,0.659,0.343,0.496,0.651,0.83
2026-08-01,South,0.881,0.326,0.668,0.305,0.823
2026-08-01,East,0.69,0.441,0.558,0.229,0.736
2026-08-01,West,0.798,0.383,0.53,0.545,0.263
2026-08-01,Central,0.86,0.695,0.296,0.379,0.488
