worker_id,monitor_fit_gap,chair_support_gap,keyboard_mouse_gap,reach_distance_gap,lighting_glare_gap,space_constraint_gap,adjustability_gap,workstation_age_index
W001,0.21,0.166,0.78,0.289,0.579,0.261,0.753,0.373
W002,0.641,0.613,0.401,0.502,0.706,0.283,0.25,0.531
W003,0.414,0.898,0.676,0.705,0.116,0.078,0.104,0.761
W004,0.763,0.413,0.162,0.53,0.259,0.29,0.286,0.719
W005,0.855,0.672,0.639,0.56,0.563,0.102,0.614,0.273
W006,0.523,0.612,0.713,0.815,0.648,0.656,0.531,0.277
W007,0.942,0.188,0.396,0.65,0.543,0.571,0.459,0.707
W008,0.653,0.933,0.278,0.342,0.123,0.377,0.231,0.514
W009,0.935,0.58,0.723,0.886,0.826,0.775,0.34,0.709
W010,0.726,0.3,0.194,0.17,0.484,0.392,0.179,0.558
W011,0.943,0.478,0.544,0.606,0.537,0.414,0.281,0.387
W012,0.262,0.154,0.254,0.793,0.257,0.083,0.769,0.242
W013,0.403,0.393,0.411,0.891,0.293,0.654,0.34,0.228
W014,0.562,0.265,0.714,0.52,0.755,0.052,0.305,0.479
W015,0.807,0.811,0.793,0.75,0.291,0.708,0.151,0.243
W016,0.297,0.772,0.475,0.505,0.157,0.27,0.169,0.461
W017,0.226,0.782,0.585,0.828,0.28,0.656,0.605,0.244
W018,0.246,0.173,0.481,0.538,0.673,0.412,0.599,0.881
W019,0.244,0.633,0.788,0.637,0.802,0.443,0.318,0.535
W020,0.66,0.631,0.324,0.818,0.695,0.228,0.289,0.77
W021,0.415,0.165,0.395,0.48,0.333,0.122,0.282,0.562
W022,0.6,0.596,0.864,0.539,0.776,0.539,0.229,0.706
W023,0.645,0.892,0.851,0.857,0.336,0.538,0.616,0.781
W024,0.823,0.218,0.617,0.235,0.302,0.671,0.159,0.433
W025,0.698,0.218,0.289,0.817,0.315,0.767,0.447,0.321
W026,0.525,0.191,0.416,0.679,0.408,0.521,0.32,0.794
W027,0.327,0.313,0.485,0.386,0.319,0.718,0.758,0.579
W028,0.802,0.356,0.632,0.64,0.8,0.418,0.39,0.268
W029,0.458,0.773,0.265,0.508,0.829,0.34,0.686,0.412
W030,0.367,0.712,0.677,0.323,0.246,0.679,0.782,0.325
